Identifier	Description	Geo	groupe	SiOH4	NO2	NO3	NH4	PO4	NT	PT	Chla	T	S	Sigma_t	observed	shannon	evenness	dominance_relative	NRI	NTI	PD	
U1H	USA_H	USA	A	1690	2.324	0.083	0.856	0.467	0.115	9.539	4.138	0.0182	23.0308	38.9967	26.9631	0.944786309414205	3.14648016493624	0.878042008141818	0.102747909199522	-1.72903786183873	-1.62669669371817	3.50804520290811
U2H	USA_H	USA	A	115	1.813	0.256	0.889	0.324	0.132	9.946	3.565	0	22.7338	37.6204	26.0046	0.94779243729026	3.17776612066998	0.893798881490872	0.102747909199522	1.12496864153029	-0.755434978156926	3.33046588821038
U3H	USA_H	USA	A	395	2.592	0.105	1.125	0.328	0.067	9.378	3.391	0	22.6824	37.6627	26.0521	0.957775750853949	3.40802224724526	0.906099686912518	0.0967741935483871	-0.230292990509078	-0.691411662331383	3.68859522450133
U4H	USA_H	USA	A	395	2.381	0.231	0.706	0.45	0.109	8.817	3.345	0	22.6854	37.6176	26.0137	0.941457586618877	3.11206572375668	0.86843847547725	0.109916367980884	-2.48017257792342	-0.64705489537166	3.40194415724968
U5F	USA_F	USA	B	200	1.656	0.098	0.794	0.367	0.095	7.847	2.52	0	22.561	37.596	26.0332	0.949131348946356	3.24680229008041	0.892570552974786	0.109916367980884	-0.179404155758775	-0.678579651333286	3.43062321554237
U6F	USA_F	USA	B	235	2.457	0.099	1.087	0.349	0.137	8.689	3.129	0	18.8515	37.4542	26.9415	0.957024932590509	3.35069391449553	0.908322962616399	0.0872162485065711	-0.406338025812281	0.0505579270218455	3.29326637792452
U7F	USA_F	USA	B	235	2.457	0.099	1.087	0.349	0.137	8.689	3.129	0	18.8515	37.4542	26.9415	0.936344599889518	3.09747380659775	0.839678781897675	0.14336917562724	1.7966840524875	-0.845138577477161	3.42851214754727
U8F	USA_F	USA	B	1355	2.028	0.103	1.135	0.216	0.128	8.623	3.137	0.0102	24.1905	38.3192	26.1037	0.927157781745981	2.97854066251405	0.859425168579029	0.166069295101553	0.129151483976524	0.122117533125523	2.96964863884765
E1H	EU_H	EU	C	945	2.669	0.136	0.785	0.267	0.114	9.146	3.062	0	24.1789	38.3213	26.1065	0.925324985832944	2.99334057466763	0.856094409077206	0.188769414575866	-0.0745809701727973	1.95798975062896	2.45179911535156
E2H	EU_H	EU	C	1295	2.206	0.249	0.768	0.629	0.236	9.013	3.455	0	22.0197	39.0877	27.3241	0.94395555612652	3.21350805720925	0.865341509330435	0.136200716845878	0.171148215939196	1.11902329297665	3.12778066231149
E3H	EU_H	EU	C	1300	3.004	0.251	0.727	0.653	0.266	8.776	3.23	0.0134	22.0515	39.0884	27.3151	0.824780999444737	2.44097134720747	0.732539476419809	0.383512544802867	2.65479470491133	-0.0103834581906485	2.42290966575208
E4H	EU_H	EU	C	1600	3.016	0.257	0.695	0.491	0.176	8.968	4.116	0	23.6669	38.9699	26.7536	0.94359013887283	3.15770209541252	0.881173547466433	0.130227001194743	-1.4279821135274	-0.641819596216165	3.15721055995363
E5F	EU_F	EU	D	1355	1.198	0.165	1.099	0.432	0.18	8.256	3.182	0	23.6814	38.9708	26.7488	0.948874414939856	3.27829645324018	0.866313998605226	0.106332138590203	-2.49590493514622	0.792854031528927	3.43352789092766
E6F	EU_F	EU	D	1590	3.868	0.253	0.567	0.533	0.169	8.395	3.126	0	23.1236	39.0054	26.9423	0.945211677936078	3.10847433240561	0.889022625508603	0.0943847072879331	-0.109621871293264	0.811043350061565	2.92170627650646
E7F	EU_F	EU	D	2265	3.639	0.255	0.658	0.665	0.247	8.991	3.843	0.0132	23.3147	38.9885	26.8713	0.95175778545725	3.30764439870525	0.902849390346576	0.0967741935483871	-1.21112925846068	0.510963881360507	3.28206932188759
E8F	EU_F	EU	D	1180	3.91	0.107	0.472	0.49	0.134	8.954	4.042	0.0172	22.6306	38.9094	27.0131	0.944303844446443	3.10590838915592	0.866720238541292	0.0943847072879331	-0.0483377040208043	0.263526124424753	2.87967089178483
E9F	EU_F	EU	D	1545	3.607	0.139	0.444	0.373	0.167	9.817	3.689	0.0062	22.9545	38.7777	26.8172	0.948754512403489	3.18039266271452	0.909591244064297	0.103942652329749	0.504047861736376	2.43432749941315	2.43034220151031
